Question,Ground Truth Answer,LLM Answer,Match,Relevant Documents,Non-Relevant Documents
Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is the mother of the director of film Polish-Russian War (Film)?
Context: Viktor Petrovich Yeliseyev( born June 9, 1950) is a Russian general, orchestra conductor and music teacher. He is the director of the Ministry of the Interior Ensemble, one of the two Russian Red Army Choirs.
Alice Washburn( 1860- 1929) was an American stage and film actress. She worked at the Edison, Vitagraph and Kalem studios. Her final film Snow White was her only known feature film. She died of heart attack in November 1929.
Maheen Khan is a Pakistani fashion and costume designer, also an award winner fashion designer for fashion labels like"" The Embroidery HouseMaheen"" and"" Gulabo"". She has done many national and international fashion events and shows. She undertook embroidery for the film Snow White and the Huntsman and television series The Jewel in the Crown.
Answer: [/INST]  Based on the information provided in the context, the mother of the director of the film ""Polish-Russian War"" is Alice Washburn.",False,"Maheen Khan is a Pakistani fashion and costume designer, also an award winner fashion designer for fashion labels like"" The Embroidery HouseMaheen"" and"" Gulabo"". She has done many national and international fashion events and shows. She undertook embroidery for the film Snow White and the Huntsman and television series The Jewel in the Crown.
Viktor Petrovich Yeliseyev( born June 9, 1950) is a Russian general, orchestra conductor and music teacher. He is the director of the Ministry of the Interior Ensemble, one of the two Russian Red Army Choirs.
Alice Washburn( 1860- 1929) was an American stage and film actress. She worked at the Edison, Vitagraph and Kalem studios. Her final film Snow White was her only known feature film. She died of heart attack in November 1929.",
"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film came out first, Blind Shaft or The Mask Of Fu Manchu?
Context: The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.
The Mysterious Dr. Fu Manchu is a 1929 American pre-Code drama film directed by Rowland V. Lee and starring Warner Oland as Dr. Fu Manchu. It was the first Fu Manchu film of the talkie era. Since this was during the transition period to sound, a silent version was also released in the United States.
Blind Shaft is a 2003 film about a pair of brutal con artists operating in the illegal coal mines of present- day northern China. The film was written and directed by Li Yang( 李杨), and is based on Chinese writer Liu Qingbang's short novel"" Shen MuSacred Wood"").
Answer: [/INST]  Based on the information provided in the context, the answer to the question ""Which film came out first, Blind Shaft or The Mask Of Fu Manchu?"" is:

The Mask of Fu Manchu (1932)

Therefore, the answer is The Mask of Fu Manchu, which was released in 1932, followed by The Mysterious Dr. Fu Manchu in 1929, and Blind Shaft in 2003.",True,"The Mysterious Dr. Fu Manchu is a 1929 American pre-Code drama film directed by Rowland V. Lee and starring Warner Oland as Dr. Fu Manchu. It was the first Fu Manchu film of the talkie era. Since this was during the transition period to sound, a silent version was also released in the United States.
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.
Blind Shaft is a 2003 film about a pair of brutal con artists operating in the illegal coal mines of present- day northern China. The film was written and directed by Li Yang( 李杨), and is based on Chinese writer Liu Qingbang's short novel"" Shen MuSacred Wood"").",
"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: When did John V, Prince Of Anhalt-Zerbst's father die?
Context: Bernhard VII of Anhalt-Zerbst (17 March 1540 – 1 March 1570), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was born and died in Dessau, and was the third and youngest son of John V, Prince of Anhalt-Zerbst by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.
Albert III, Prince of Anhalt-Zerbst (died ca. 1 August 1359) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the eldest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.
Waldemar I, Prince of Anhalt- Zerbst( died 7 January 1368) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the youngest son of Albert I, Prince of Anhalt- Zerbst, by his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.
Answer: [/INST]  Based on the information provided in the context, John V, Prince of Anhalt-Zerbst's father died in 1540.",False,"Albert III, Prince of Anhalt-Zerbst (died ca. 1 August 1359) was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the eldest son of Albert II, Prince of Anhalt-Zerbst, by his second wife Beatrix, daughter of Rudolf I, Elector of Saxony and Duke of Saxe-Wittemberg.
Bernhard VII of Anhalt-Zerbst (17 March 1540 – 1 March 1570), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was born and died in Dessau, and was the third and youngest son of John V, Prince of Anhalt-Zerbst by his wife Margaret, daughter of Joachim I Nestor, Elector of Brandenburg.
Waldemar I, Prince of Anhalt- Zerbst( died 7 January 1368) was a German prince of the House of Ascania and ruler of the principality of Anhalt- Zerbst. He was the youngest son of Albert I, Prince of Anhalt- Zerbst, by his second wife Agnes, daughter of Conrad, Margrave of Brandenburg- Stendal.",
What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?
Context: Michael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006. Prior to this, Govan worked as the director of the Dia Art Foundation in New York City.
Peter Levin is an American director of film, television and theatre.
John Donatich is the Director of Yale University Press.
Answer: [/INST]  Based on the information provided in the context, the director of the film ""Wearing Velvet Slippers Under A Golden Umbrella"" is not mentioned. Therefore, there is no award won by this director.

The context only provides information about Michael Govan, who is the director of the Los Angeles County Museum of Art, and Peter Levin, an American director of film, television, and theatre. John Donatich is the Director of Yale University Press, but there is no mention of him being involved in the film industry.",False,"Michael Govan( born 1963) is the director of the Los Angeles County Museum of Art since 2006. Prior to this, Govan worked as the director of the Dia Art Foundation in New York City.
Peter Levin is an American director of film, television and theatre.
John Donatich is the Director of Yale University Press.",
Where was the director of film Ronnie Rocket born?,"Missoula, Montana","[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Where was the director of film Ronnie Rocket born?
Context: Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation.
Jason Moore( born October 22, 1970) is an American director of film, theatre and television.
Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004.
Answer: [/INST]  Based on the information provided in the context, the director of film Ronnie Rocket was born in the United States.",False,"Jason Moore( born October 22, 1970) is an American director of film, theatre and television.
Brian Patrick Kennedy( born 5 November 1961) is an Irish- born art museum director who has worked in Ireland and Australia, and now lives and works in the United States. He is currently the director of the Peabody Essex Museum. He was the director of the Toledo Museum of Art in Ohio from 2010 to 2019. He was the director of the Hood Museum of Art from 2005 to 2010, and the National Gallery of Australia( Canberra) from 1997- 2004.
Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation.",
Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?
Context: Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.
Charles Armand René de La Trémoille (14 January 1708, in Paris – 23 May 1741), 6th duc de Thouars, was the son of Charles Louis Bretagne de La Trémoille and his wife, Marie Madeleine Motier de la Fayette. La Trémoille was a French soldier and president of the States of Brittany. He joined the military at a young age and became a colonel of the Champagne regiment at the age of eighteen. Later, he became governor of Île-de-France. He distinguished himself in the battle of Guastalla, in Italy, and was named shortly thereafter sergeant of the armies of the king. La Trémoille was the author of some works and was elected a member of the Académie française on 13 February 1738. On 29 January 1725 he married his cousin Marie Hortense de La Tour d'Auvergne, the daughter of Marie Armande Victoire de la Trémoïlle (1677–1717) and Emmanuel-Théodose de La Tour d'Auvergne, duc de Bouillon (1668–1730). Marie Hortense, like her husband was a granddaughter of Charles Belgique Hollande de La Trémoille. From this union was born a son: Jean Bretagne Charles de La Trémoille and a daughter who died in infancy.
Henri Charles de La Trémoille( 17 December 1620 – 14 September 1672) was a French military commander. He the son of Henry de La Trémoille, duc of Thouars and of La Trémoille, and his wife, Marie de La Tour d'Auvergne. In 1628, La Trémoille's father, Henri III of Trémoïlle, converted himself and his children to Catholicism, but La Trémoille's mother convinced him to reconvert to Protestantism when he reached the age of majority. In 1638, he joined the army of his uncle, Frederick Henry, Prince of Orange. In 1648, he married the Calvinist Émilie of Hesse- Kassel, the daughter of William V of Hesse- Kassel( or Hesse- Cassel). They had five children, including Charles Belgique, his heir, and Charlotte Amélie de la Trémoille. In October 1651, during the Fronde, he came out against Cardinal Mazarin and supported Condé openly. As a result, in 1656 he was imprisoned in Amiens. La Trémoille's mother obtained his release after several months of imprisonment. He was then relegated in Poitou then turned over to serve in Holland. In 1668, he returned from Holland to manage the affairs of the duchy of Thouars, his father being weakened by the gout, and he again re-converted to Catholicism, taking away the children from his wife who fled to the Netherlands. He died two years before his father in 1672; it was thus his elder son, Charles, who succeeded as the fourth duke of Thouars.
Answer: [/INST]  Based on the information provided in the context, Charles Bretagne Marie de La Trémoille's paternal grandfather is Henri Charles de La Trémoille (1620-1672).",True,"Charles Armand René de La Trémoille (14 January 1708, in Paris – 23 May 1741), 6th duc de Thouars, was the son of Charles Louis Bretagne de La Trémoille and his wife, Marie Madeleine Motier de la Fayette. La Trémoille was a French soldier and president of the States of Brittany. He joined the military at a young age and became a colonel of the Champagne regiment at the age of eighteen. Later, he became governor of Île-de-France. He distinguished himself in the battle of Guastalla, in Italy, and was named shortly thereafter sergeant of the armies of the king. La Trémoille was the author of some works and was elected a member of the Académie française on 13 February 1738. On 29 January 1725 he married his cousin Marie Hortense de La Tour d'Auvergne, the daughter of Marie Armande Victoire de la Trémoïlle (1677–1717) and Emmanuel-Théodose de La Tour d'Auvergne, duc de Bouillon (1668–1730). Marie Hortense, like her husband was a granddaughter of Charles Belgique Hollande de La Trémoille. From this union was born a son: Jean Bretagne Charles de La Trémoille and a daughter who died in infancy.
Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.
Henri Charles de La Trémoille( 17 December 1620 – 14 September 1672) was a French military commander. He the son of Henry de La Trémoille, duc of Thouars and of La Trémoille, and his wife, Marie de La Tour d'Auvergne. In 1628, La Trémoille's father, Henri III of Trémoïlle, converted himself and his children to Catholicism, but La Trémoille's mother convinced him to reconvert to Protestantism when he reached the age of majority. In 1638, he joined the army of his uncle, Frederick Henry, Prince of Orange. In 1648, he married the Calvinist Émilie of Hesse- Kassel, the daughter of William V of Hesse- Kassel( or Hesse- Cassel). They had five children, including Charles Belgique, his heir, and Charlotte Amélie de la Trémoille. In October 1651, during the Fronde, he came out against Cardinal Mazarin and supported Condé openly. As a result, in 1656 he was imprisoned in Amiens. La Trémoille's mother obtained his release after several months of imprisonment. He was then relegated in Poitou then turned over to serve in Holland. In 1668, he returned from Holland to manage the affairs of the duchy of Thouars, his father being weakened by the gout, and he again re-converted to Catholicism, taking away the children from his wife who fled to the Netherlands. He died two years before his father in 1672; it was thus his elder son, Charles, who succeeded as the fourth duke of Thouars.",
Where was the father of Ștefan I. Nenițescu born?,Galați,Viscount,False,"Anacyndaraxes was the father of Sardanapalus, king of Assyria.
He was the father of Takayama Ukon, and was a Kirishitan.
Viscount was the first Director of Railways in Japan and is known as the"" father of the Japanese railways"".",
Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,"No, North Marion High School (Oregon) and Seoul High School are not located in the same country.",True,"North Marion High School is a public Double A (""AA"") high school in the U.S. state of West Virginia, with a current enrollment of 851 students. North Marion High School is located approximately 4 miles from Farmington, West Virginia on US Route 250 north. While it is closer to the city of Mannington, West Virginia, and is often considered to be located in Rachel, West Virginia, the school mailing address is Farmington. Rachel is a small coal mining community located adjacent to the school, and is an unincorporated municipality. North Marion High School is represented as ""Grantville High School"" in the popular alternative history novel ""1632"" by writer Eric Flint. The novel is set in the fictional town of Grantville, which is based on the real town and surroundings of Mannington.
Marion High School is a public high school in Marion, Kansas, USA. It is one of three schools operated by Marion USD 408, and is the sole high school in the district.
Calloway County High School is a public high school located in Murray, Kentucky. The school was formed from the consolidation of six high schools from across the county: Hazel High School, Lynn Grove High School, Kirksey High School, Almo High School, New Concord High School, and Faxon High School.",
"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,Fernando Fernán Gómez,False,"El extraño viaje is a 1964 Spanish black drama film directed by Fernando Fernán Gómez. Famous film director Jess Franco acts as the brother of the protagonist. The film was a huge flop on its limited release. It was voted seventh best Spanish film by professionals and critics in 1996 Spanish cinema centenary.
W. Augustus Barratt( 1873- 1947) was a Scottish- born, later American, songwriter and musician.
Luck in Pawn is a 1919 American silent romance film starring Marguerite Clark and directed by Walter Edwards. It was produced by Famous Players- Lasky and distributed through Paramount Pictures. The film is based on a play by Marvin Taylor,"" Luck in Pawn"", and ran briefly on Broadway in 1919. The film is listed as being preserved at the Library of Congress and New Zealand Film Archive.",
Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is the maternal grandfather of Antiochus X Eusebes?
Context: , also known as Fujiwara no Nagayoshi, was a Japanese statesman, courtier and politician of the early Heian period. He was the grandfather of Emperor Yōzei.
Kaya Alp was, according to Ottoman tradition, the son of Kızıl Buğa and the father of Suleyman Shah, who was, in turn, the grandfather of Ertuğrul, and the great grandfather of the Ottoman Empire founder, Osman I.
Guillaume Wittouck( 1749- 1829) was a Belgian lawyer and High Magistrate. He was the Grandfather of industrialist Paul Wittouck.
Answer: [/INST]  Based on the information provided in the context, the maternal grandfather of Antiochus X Eusebes is Fujiwara no Nagayoshi.",False,", also known as Fujiwara no Nagayoshi, was a Japanese statesman, courtier and politician of the early Heian period. He was the grandfather of Emperor Yōzei.
Kaya Alp was, according to Ottoman tradition, the son of Kızıl Buğa and the father of Suleyman Shah, who was, in turn, the grandfather of Ertuğrul, and the great grandfather of the Ottoman Empire founder, Osman I.
Guillaume Wittouck( 1749- 1829) was a Belgian lawyer and High Magistrate. He was the Grandfather of industrialist Paul Wittouck.",
