Question,Ground Truth Answer,LLM Answer,Match,Relevant Documents,Non-Relevant Documents
Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,"The mother of the director of the film ""Polish-Russian War"" is not specified.",False,"Polish-Russian War (Wojna polsko-ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish-Russian War under the white-red flag by Dorota Masłowska.
The Battle of Limanowa took place from 1 December to 13 December 1914, between the Austro-Hungarian Army and the Russian Army near the town of Limanowa ( south-east of Kraków).
Polish- Russian War( Wojna polsko- ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish- Russian War under the white- red flag by Dorota Masłowska.",
"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film came out first, Blind Shaft or The Mask Of Fu Manchu?
Context: The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.
The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.
Answer: [/INST]  Based on the information provided in the context, the answer to the question ""Which film came out first, Blind Shaft or The Mask Of Fu Manchu?"" is:

The Mask of Fu Manchu (1932)

Therefore, the answer is The Mask of Fu Manchu, which was released in 1932, before Blind Shaft (1965) and The Castle of Fu Manchu (1969).",True,"The Face of Fu Manchu is a 1965 thriller film directed by Don Sharp and based on the characters created by Sax Rohmer. It stars Christopher Lee as the eponymous villain, a Chinese criminal mastermind, and Nigel Green as his pursuing rival Nayland Smith, a Scotland Yard detective. The film was a British- West German co-production, and was the first in a five- part series starring Lee and produced by Harry Alan Towers for Constantin Film, the second of which was"" The Brides of Fu Manchu"" released the next year, with the final entry being"" The Castle of Fu Manchu"" in 1969. It was shot in Technicolor and Techniscope, on- location in County Dublin, Ireland.
The Castle of Fu Manchu( also known as The Torture Chamber of Dr. Fu Manchu and also known by its German title Die Folterkammer des Dr. Fu Man Chu) is a 1969 film and the fifth and final Dr. Fu Manchu film with Christopher Lee portraying the title character.
The Mask of Fu Manchu is a 1932 pre-Code adventure film directed by Charles Brabin. It was written by Irene Kuhn, Edgar Allan Woolf and John Willard based on the 1932 novel of the same name by Sax Rohmer. Starring Boris Karloff as Fu Manchu, and featuring Myrna Loy as his depraved daughter, the movie revolves around Fu Manchu's quest for the golden sword and mask of Genghis Khan. Lewis Stone plays his nemesis. Dr. Petrie is absent from this film.",
"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: When did John V, Prince Of Anhalt-Zerbst's father die?
Context: John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Poděbrady, King of Bohemia.
John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.
John V of Anhalt-Zerbst (Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau. From 1544, he assumed rule of the re-created principality of Anhalt-Zerbst. John was the second (but eldest surviving) son of Ernest I, Prince of Anhalt-Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg-Oels, and granddaughter of George of Poděbrady, King of Bohemia.
Answer: [/INST]  Based on the information provided in the context, John V of Anhalt-Zerbst's father, Ernest I, Prince of Anhalt-Dessau, died in 1516.",False,"John VI of Anhalt-Zerbst (Zerbst, 24 March 1621 – Zerbst, 4 July 1667), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Zerbst. He was the only son of Rudolph, Prince of Anhalt-Zerbst, by his second wife Magdalene, daughter of John VII, Count of Oldenburg.
John V of Anhalt-Zerbst (Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt-Dessau. From 1544, he assumed rule of the re-created principality of Anhalt-Zerbst. John was the second (but eldest surviving) son of Ernest I, Prince of Anhalt-Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg-Oels, and granddaughter of George of Poděbrady, King of Bohemia.
John V of Anhalt- Zerbst( Dessau, 4 September 1504 – Zerbst, 4 February 1551), was a German prince of the House of Ascania and ruler of the principality of Anhalt- Dessau. From 1544, he assumed rule of the re-created principality of Anhalt- Zerbst. John was the second( but eldest surviving) son of Ernest I, Prince of Anhalt- Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg- Oels, and granddaughter of George of Poděbrady, King of Bohemia.",
What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?
Context: Ian Barry is an Australian director of film and TV.
Ruby slippers One of the pairs used in The Wizard of Oz (1939), on display at the Smithsonian Institution National Museum of American History Plot element from The Wizard of Oz Publisher Metro - Goldwyn - Mayer First appearance The Wizard of Oz (1939) Created by Gilbert Adrian (costume design) Genre Fantasy fiction In - story information Type Magical slippers Function Able to send Dorothy Gale back home to Kansas after clicking the heels three times
Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung. The film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.
Answer: [/INST]  Based on the information provided in the context, the director of the film ""Wearing Velvet Slippers Under a Golden Umbrella"" is Maung Wunna.",False,"Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung. The film was Maung Wunna's first feature as director and he also wrote the screenplay, based on the novel of the same name by Maung Thara.
Ruby slippers One of the pairs used in The Wizard of Oz (1939), on display at the Smithsonian Institution National Museum of American History Plot element from The Wizard of Oz Publisher Metro - Goldwyn - Mayer First appearance The Wizard of Oz (1939) Created by Gilbert Adrian (costume design) Genre Fantasy fiction In - story information Type Magical slippers Function Able to send Dorothy Gale back home to Kansas after clicking the heels three times
Ian Barry is an Australian director of film and TV.",
Where was the director of film Ronnie Rocket born?,"Missoula, Montana","[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Where was the director of film Ronnie Rocket born?
Context: Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film ""EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's ""The Elephant Man"". ""Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three-foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in ""Twin Peaks"" and ""Mulholland Drive"" as a result.
Ian Barry is an Australian director of film and TV.
Answer: [/INST]  Based on the information provided in the context, the director of the film Ronnie Rocket is David Lynch.",False,"Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film"" EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's"" The Elephant Man"". "" Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three- foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in"" Twin Peaks"" and"" Mulholland Drive"" as a result.
Ronnie Rocket is an unfinished film project written by David Lynch, who also intended to direct it. Begun after the success of Lynch's 1977 film ""EraserheadRonnie Rocket"" was shelved after Lynch felt he would be unable to find financial backing for the project. He instead sought out an existing script on which to base his next film, settling on what would become 1980's ""The Elephant Man"". ""Ronnie Rocket"" was to feature many of the elements which have since come to be seen as Lynch's hallmarks; including industrial art direction, 1950s popular culture and physical deformity. The script featured a three-foot tall man with control over electricity; Lynch first met Michael J. Anderson when tentatively casting for this role, and later cast him in ""Twin Peaks"" and ""Mulholland Drive"" as a result.
Ian Barry is an Australian director of film and TV.",
Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?
Context: Prince Jean-Bretagne-Charles de La Trémoille (5 February 1737 – 19 May 1792), 7th Duke of Thouars, was a French soldier and the son of Charles Armand René de La Trémoille and his wife, Marie Hortense de La Tour d'Auvergne of Bouillon.
Prince Jean- Bretagne- Charles de La Trémoille( 5 February 1737 – 19 May 1792), 7th Duke of Thouars, was a French soldier and the son of Charles Armand René de La Trémoille and his wife, Marie Hortense de La Tour d'Auvergne of Bouillon.
Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.
Answer: [/INST]  Based on the information provided in the context, the paternal grandfather of Charles Bretagne Marie de La Trémoille is Charles Armand René de La Trémoille.",True,"Prince Jean- Bretagne- Charles de La Trémoille( 5 February 1737 – 19 May 1792), 7th Duke of Thouars, was a French soldier and the son of Charles Armand René de La Trémoille and his wife, Marie Hortense de La Tour d'Auvergne of Bouillon.
Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg.
Prince Jean-Bretagne-Charles de La Trémoille (5 February 1737 – 19 May 1792), 7th Duke of Thouars, was a French soldier and the son of Charles Armand René de La Trémoille and his wife, Marie Hortense de La Tour d'Auvergne of Bouillon.",
Where was the father of Ștefan I. Nenițescu born?,Galați,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Where was the father of Ștefan I. Nenițescu born?
Context: Ștefan Dimitrescu( January 18, 1886 – May 22, 1933) was a Romanian Post-impressionist painter and draftsman.
Ioan S. Nenițescu (April 11, 1854–February 23, 1901) was a Romanian poet and playwright. Born in Galați, his parents were Ștefan Vasiliu, a manual laborer, and his wife Elisabeta (""née"" Zaharia). After completing the Alexandru Ioan I commercial school in his native town , he finished high school, passing the exit examination at Iași. He also audited courses at Iași University's literature faculty. Nenițescu attended an officers' school, volunteered in the Romanian War of Independence and was wounded at Grivitsa. He then studied at the philosophy faculty of Berlin University, taking a doctorate in 1887 at Leipzig University with a thesis on Baruch Spinoza. He worked as a schoolteacher and inspector in Bucharest. He traveled south of the Danube, a trip that resulted in an ample ""ethnic and statistical study of the AromaniansDe la românii din Turcia Europeană"", 1895). He sat in the Assembly of Deputies for his native Covurlui County, and also served as prefect of Tulcea County in the Dobruja region. Nenițescu's first work appeared in the Galați newspaper ""Gardistul civic"". A member of ""Junimea"", he published numerous poems in its organ ""Convorbiri Literare"". He also contributed to ""AlbinaAmicul copiilorRevista nouăRomânul literarȘezătoarea"" and ""Ziarul presei"". While in Bucharest from 1884 to 1888, he published ""Țara nouă"" magazine, mainly submitting articles on pedagogy, ethics and sociology. His first book was the 1880 poetry volume ""Flori de primăvară"", followed by ""Șoimii de la Războieni"" (1882) and ""Pui de lei"" (1891). Of the plays he wrote, the only one he published was ""Radu de la Afumați"" (1897). In 1896, Nenițescu was elected a corresponding member of the Romanian Academy. He died in Buzău. His son Ștefan also became a poet.
Ștefan I. Nenițescu (October 8, 1897–October 1979) was a Romanian poet and aesthetician. Born in Bucharest, his parents were the poet Ioan S. Nenițescu and his wife Elena (""née"" Ștefan). He attended Sapienza University of Rome from 1920, as well as the literature and philosophy department of Bucharest University. At first an assistant professor of aesthetics, he later became an associate professor at Bucharest. He served as press secretary and later economic adviser to the Romanian legation in The Hague. Nenițescu's first publication was a 1915 article about William Shakespeare that appeared in ""Noua revistă română"". His first book of poetry, ""Denii"" (1919), was followed by ""Vrajă"" (1923) and ""Ode italice"" (1925). His single volume of theatre was ""Trei mistere"" (1922). From 1924, he wrote for ""Gândirea"", and was a founding member of Romania's PEN Club. He also contributed poetry and art criticism to ""Convorbiri LiterareIdeea europeanăVremeaUniversul literarViața RomâneascăAdevărul"" and ""Arta plastică"". In 1925, Nenițescu published a treatise, ""Istoria artei ca filosofie a istoriei"". He translated from Benedetto Croce (""Aesthetic"", 1922) and Niccolò Machiavelli (""The Mandrake"", 1926). Initially, Nenițescu's poetry was discursive and religious, in line with the ""Gândirist"" current. His verse became progressively more hermetic, as can be seen in the anthology volume ""Ani"" (1973). Including texts published in the 1940s and '50s, it reveals the intellectualized lyric verse of an eminently classical nature.
Answer: [/INST]  Based on the information provided in the context, we can conclude that Ștefan I. Nenițescu, the father of the poet Ștefan Nenițescu, was born in Galați, Romania.",True,"Ștefan I. Nenițescu (October 8, 1897–October 1979) was a Romanian poet and aesthetician. Born in Bucharest, his parents were the poet Ioan S. Nenițescu and his wife Elena (""née"" Ștefan). He attended Sapienza University of Rome from 1920, as well as the literature and philosophy department of Bucharest University. At first an assistant professor of aesthetics, he later became an associate professor at Bucharest. He served as press secretary and later economic adviser to the Romanian legation in The Hague. Nenițescu's first publication was a 1915 article about William Shakespeare that appeared in ""Noua revistă română"". His first book of poetry, ""Denii"" (1919), was followed by ""Vrajă"" (1923) and ""Ode italice"" (1925). His single volume of theatre was ""Trei mistere"" (1922). From 1924, he wrote for ""Gândirea"", and was a founding member of Romania's PEN Club. He also contributed poetry and art criticism to ""Convorbiri LiterareIdeea europeanăVremeaUniversul literarViața RomâneascăAdevărul"" and ""Arta plastică"". In 1925, Nenițescu published a treatise, ""Istoria artei ca filosofie a istoriei"". He translated from Benedetto Croce (""Aesthetic"", 1922) and Niccolò Machiavelli (""The Mandrake"", 1926). Initially, Nenițescu's poetry was discursive and religious, in line with the ""Gândirist"" current. His verse became progressively more hermetic, as can be seen in the anthology volume ""Ani"" (1973). Including texts published in the 1940s and '50s, it reveals the intellectualized lyric verse of an eminently classical nature.
Ioan S. Nenițescu (April 11, 1854–February 23, 1901) was a Romanian poet and playwright. Born in Galați, his parents were Ștefan Vasiliu, a manual laborer, and his wife Elisabeta (""née"" Zaharia). After completing the Alexandru Ioan I commercial school in his native town , he finished high school, passing the exit examination at Iași. He also audited courses at Iași University's literature faculty. Nenițescu attended an officers' school, volunteered in the Romanian War of Independence and was wounded at Grivitsa. He then studied at the philosophy faculty of Berlin University, taking a doctorate in 1887 at Leipzig University with a thesis on Baruch Spinoza. He worked as a schoolteacher and inspector in Bucharest. He traveled south of the Danube, a trip that resulted in an ample ""ethnic and statistical study of the AromaniansDe la românii din Turcia Europeană"", 1895). He sat in the Assembly of Deputies for his native Covurlui County, and also served as prefect of Tulcea County in the Dobruja region. Nenițescu's first work appeared in the Galați newspaper ""Gardistul civic"". A member of ""Junimea"", he published numerous poems in its organ ""Convorbiri Literare"". He also contributed to ""AlbinaAmicul copiilorRevista nouăRomânul literarȘezătoarea"" and ""Ziarul presei"". While in Bucharest from 1884 to 1888, he published ""Țara nouă"" magazine, mainly submitting articles on pedagogy, ethics and sociology. His first book was the 1880 poetry volume ""Flori de primăvară"", followed by ""Șoimii de la Războieni"" (1882) and ""Pui de lei"" (1891). Of the plays he wrote, the only one he published was ""Radu de la Afumați"" (1897). In 1896, Nenițescu was elected a corresponding member of the Romanian Academy. He died in Buzău. His son Ștefan also became a poet.
Ștefan Dimitrescu( January 18, 1886 – May 22, 1933) was a Romanian Post-impressionist painter and draftsman.",
Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Are North Marion High School (Oregon) and Seoul High School both located in the same country?
Context: North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.
Marion High School is a high school in Marion, Indiana with more than 1,000 students.
Marion High School is a public high school in Marion, Kansas, USA. It is one of three schools operated by Marion USD 408, and is the sole high school in the district.
Answer: [/INST]  Based on the information provided in the context, North Marion High School (Oregon) and Seoul High School are not located in the same country.

North Marion High School is located in Aurora, Oregon, United States, which means it is in the United States.

On the other hand, Seoul High School is located in Seoul, South Korea, which is a different country from the United States.

Therefore, the answer is no, North Marion High School (Oregon) and Seoul High School are not located in the same country.",True,"Marion High School is a public high school in Marion, Kansas, USA. It is one of three schools operated by Marion USD 408, and is the sole high school in the district.
Marion High School is a high school in Marion, Indiana with more than 1,000 students.
North Marion High School is a public high school in Aurora, Oregon, United States. The school is part of the North Marion School District with all four schools being located on the same campus. The school draws students from the cities of Aurora, Hubbard, and Donald as well as the communities of Broadacres and Butteville.",
"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film has the director who was born later, El Extraño Viaje or Love In Pawn?
Context: The Extra( Spanish: El extra) is a 1962 Mexican comedy film directed by Miguel M. Delgado and starring Cantinflas and Alma Delia Fuentes. In the film, Cantinflas plays a man who works as an extra through several films. This was the last Cantinflas film whose art direction was made by long- time set designer Gunther Gerzso.
Love in Pawn is a 1953 British comedy film directed by Charles Saunders and starring Bernard Braden and Barbara Kelly.
El extraño viaje is a 1964 Spanish black drama film directed by Fernando Fernán Gómez. Famous film director Jess Franco acts as the brother of the protagonist. The film was a huge flop on its limited release. It was voted seventh best Spanish film by professionals and critics in 1996 Spanish cinema centenary.
Answer: [/INST]  Based on the information provided in the context, the director who was born later is Fernando Fernán Gómez, who directed El extraño viaje (The Strange Journey) in 1964.

Therefore, the answer is: Fernando Fernán Gómez.",True,"El extraño viaje is a 1964 Spanish black drama film directed by Fernando Fernán Gómez. Famous film director Jess Franco acts as the brother of the protagonist. The film was a huge flop on its limited release. It was voted seventh best Spanish film by professionals and critics in 1996 Spanish cinema centenary.
Love in Pawn is a 1953 British comedy film directed by Charles Saunders and starring Bernard Braden and Barbara Kelly.
The Extra( Spanish: El extra) is a 1962 Mexican comedy film directed by Miguel M. Delgado and starring Cantinflas and Alma Delia Fuentes. In the film, Cantinflas plays a man who works as an extra through several films. This was the last Cantinflas film whose art direction was made by long- time set designer Gunther Gerzso.",
Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,,False,"Antiochus X Eusebes Philopator (–92 or 88 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria between 95 BC and 92 BC or 89/88 BC (224 SE (Seleucid year)). He was the son of Antiochus IX and perhaps his Egyptian wife Cleopatra IV. He lived in a period during which there was a general disintegration of Seleucid Syria characterized by civil wars, foreign interference by Ptolemaic Egypt and incursions by the Parthians. Antiochus IX was killed in 95BC at the hands of Seleucus VI, the son of his half-brother and rival Antiochus VIII. Antiochus X then went to the city of Aradus where he declared himself king. He avenged his father by defeating Seleucus VI, who was eventually killed. Antiochus X did not enjoy a stable reign as he had to face three of Seleucus VI's brothers, Antiochus XI, Philip I and Demetrius III. Antiochus XI defeated AntiochusX and expelled him from the capital Antioch in 93 BC. A few months later, AntiochusX regained his position and killed Antiochus XI. This led to both Philip I and Demetrius III becoming involved. The civil war continued but its final outcome is uncertain due to the contradictions between different ancient historians' accounts. AntiochusX married his stepmother, Antiochus IX's widow Cleopatra Selene, and had several children with her, including a future king Antiochus XIII. The death of Antiochus X is shrouded in mystery. The year of his demise is traditionally given by modern scholars as 92 BC, but other dates are also possible including the year 224 SE (89/88BC). The most reliable account of his end is that of the first century historian Josephus, who wrote that AntiochusX marched east to fight off the Parthians who were attacking a queen called Laodice; the identity of this queen and who her people were continues to be debated. Other accounts exist: the ancient Greek historian Appian has AntiochusX defeated by the Armenian king Tigranes II and losing his kingdom; the third century historian Eusebius wrote that AntiochusX was defeated by his cousins and escaped to the Parthians before asking the Romans for help in having him reinstated on the throne. Modern scholars prefer the account of Josephus and question practically every aspect of the versions presented by other ancient historians. Numismatic evidence shows that AntiochusX was succeeded in Antioch by Demetrius III, who controlled the capital in SE (88/87 BC).
Antiochus XI Epiphanes Philadelphus (unknown – 93 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria between 94 and 93 BC. He was the son of Antiochus VIII and his wife Tryphaena. Antiochus XI's early life was a time of constant civil war between his father and his uncle Antiochus IX. The conflict ended with the assassination of Antiochus VIII, followed by the establishment of Antiochus IX in Antioch, the capital of Syria. Antiochus VIII's eldest son Seleucus VI, in control of western Cilicia, marched against his uncle and had him killed, taking Antioch for himself, only to be expelled from it and driven to his death in 94 BC by Antiochus IX's son Antiochus X. Following the murder of Seleucus VI, Antiochus XI declared himself king jointly with his twin brother Philip I. Dubious ancient accounts, which may be contradicted by archaeological evidence, report that Antiochus XI's first act was to avenge his late brother by destroying Mopsuestia in Cilicia, the city responsible for the death of Seleucus VI. In 93 BC, Antiochus XI took Antioch, an event not mentioned by ancient historians but confirmed through numismatic evidence. Antiochus XI appears to have been the senior king, minting coinage as a sole king and reigning alone in the capital, while Philip I remained in Cilicia, but kept his royal title. Antiochus XI may have restored the temple of Apollo and Artemis in Daphne, but his reign did not last long. In the autumn of the same year, Antiochus X regrouped and counter-attacked; Antiochus XI was defeated and drowned in the Orontes River as he tried to flee.
Antiochus X Eusebes Philopator( –92 or 88 BC) was a Hellenistic Seleucid monarch who reigned as the King of Syria between 95 BC and 92 BC or 89/88 BC( 224 SE( Seleucid year)). He was the son of Antiochus IX and perhaps his Egyptian wife Cleopatra IV. He lived in a period during which there was a general disintegration of Seleucid Syria characterized by civil wars, foreign interference by Ptolemaic Egypt and incursions by the Parthians. Antiochus IX was killed in 95 BC at the hands of Seleucus VI, the son of his half- brother and rival Antiochus VIII. Antiochus X then went to the city of Aradus where he declared himself king. He avenged his father by defeating Seleucus VI, who was eventually killed. Antiochus X did not enjoy a stable reign as he had to face three of Seleucus VI's brothers, Antiochus XI, Philip I and Demetrius III. Antiochus XI defeated AntiochusX and expelled him from the capital Antioch in 93 BC. A few months later, AntiochusX regained his position and killed Antiochus XI. This led to both Philip I and Demetrius III becoming involved. The civil war continued but its final outcome is uncertain due to the contradictions between different ancient historians' accounts. AntiochusX married his stepmother, Antiochus IX's widow Cleopatra Selene, and had several children with her, including a future king Antiochus XIII. The death of Antiochus X is shrouded in mystery. The year of his demise is traditionally given by modern scholars as 92 BC, but other dates are also possible including the year 224 SE( 89/88 BC). The most reliable account of his end is that of the first century historian Josephus, who wrote that AntiochusX marched east to fight off the Parthians who were attacking a queen called Laodice; the identity of this queen and who her people were continues to be debated. Other accounts exist: the ancient Greek historian Appian has AntiochusX defeated by the Armenian king Tigranes II and losing his kingdom; the third century historian Eusebius wrote that AntiochusX was defeated by his cousins and escaped to the Parthians before asking the Romans for help in having him reinstated on the throne. Modern scholars prefer the account of Josephus and question practically every aspect of the versions presented by other ancient historians. Numismatic evidence shows that AntiochusX was succeeded in Antioch by Demetrius III, who controlled the capital in SE( 88/87 BC).",
